,sessionId,flow,pWStartTime,pWDuration,ip1Loc,port1Loc,ip2Loc,port2Loc,ip1Net,port1Net,ip2Net,port2Net,mediaType,avgCc,mos,mosC,vMosP,vMosR,poorScores,transportScore,locator,ssrc,auxSsrc,pType,codec,redPType,redCodec,auxPType,auxCodec,redAuxPType,redAuxCodec,routes,RTPAvgBr,RTPSdvBr,RTPMaxBr,RTPMinBr,RTPAvgFps,RTPSdvFps,RTPMaxFps,RTPMinFps,RTPAvgJitt,RTPSdvJitt,RTPMaxJitt,RTPMinJitt,RTPAvgDelta,RTPSdvDelta,RTPMaxDelta,RTPMinDelta,RTPSeenPack,RTPMissedPack,redPack,fecPack,auxSeenPack,auxMissedPack,redAuxPack,fecAuxPack,burstPackMissed,burstFreq,packReorder,RTCPSendRepPack,RTCPRecRepPack,STUNAvgRtt,STUNSdvRtt,STUNMaxRtt,STUNMinRtt,STUNBw
2930,4171865617886469680,4,1644234120000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,3.67,2.07,7.37,1.86,1.10,0.30,2.00,1.00,0.00,0.00,0.01,0.00,164.44,348.21,1071.19,0.00,90,0,0,33,12,0,0,0,0,0,0,1,0,103.95,17.65,155.88,74.60,12000.00
2931,4171865617886469680,2,1644234130000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,13.39,2.31,15.70,11.08,22.00,10.00,32.00,12.00,0.00,0.00,0.01,0.00,20.00,0.38,20.98,18.97,45,0,0,1,,,,,0,0,0,1,16,110.38,24.91,191.54,73.63,12000.00
2932,4171865617886469680,3,1644234130000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,37.70,4.93,40.98,25.26,47.90,4.28,51.00,38.00,0.05,0.11,0.72,0.00,20.00,3.61,30.85,9.21,480,0,0,1,,,,,0,0,0,2,21,110.38,24.91,191.54,73.63,12000.00
2933,4171865617886469680,4,1644234130000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,2.46,0.70,4.46,1.81,1.10,0.30,2.00,1.00,0.04,0.05,0.13,0.00,172.70,366.94,1073.64,0.00,88,0,0,33,10,0,0,0,0,0,0,3,0,103.95,17.64,155.88,74.60,12000.00
2934,4171865617886469680,2,1644234140000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,24.73,13.84,40.58,4.47,34.29,16.89,50.00,5.00,0.00,0.00,0.01,0.00,19.99,0.41,21.66,18.28,242,0,0,2,,,,,0,0,0,3,15,110.37,24.91,191.54,73.63,12000.00
2935,4171865617886469680,3,1644234140000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,38.81,6.38,42.90,20.22,48.20,5.44,51.00,32.00,0.05,0.11,0.63,0.00,20.02,3.68,31.62,9.98,483,0,0,1,,,,,0,0,0,2,21,110.37,24.91,191.54,73.63,12000.00
2936,4171865617886469680,4,1644234140000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,2.45,0.82,4.88,1.84,1.10,0.30,2.00,1.00,0.04,0.05,0.15,0.01,179.52,376.00,1074.46,0.00,88,0,0,33,11,0,0,0,0,0,0,2,0,103.96,17.63,155.88,74.60,12000.00
2937,4171865617886469680,2,1644234150000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,36.27,6.21,40.81,20.06,47.70,6.57,50.00,28.00,0.00,0.00,0.02,0.00,20.00,0.40,22.44,17.75,479,0,0,2,,,,,0,0,0,3,17,110.39,24.91,191.54,73.63,12000.00
2938,4171865617886469680,3,1644234150000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,37.31,7.05,41.71,25.10,48.25,3.63,51.00,42.00,0.04,0.10,0.54,0.00,20.00,3.36,29.39,10.84,194,0,0,1,,,,,0,0,0,2,21,110.39,24.91,191.54,73.63,12000.00
2939,4171865617886469680,4,1644234150000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,3.40,3.36,13.46,2.19,1.10,0.30,2.00,1.00,0.05,0.04,0.11,0.00,163.29,354.03,1080.45,0.00,89,0,0,33,12,0,0,0,0,0,0,3,0,103.94,17.63,155.88,74.60,12000.00
2940,4171865617886469680,2,1644234160000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,40.25,1.14,42.23,38.31,50.00,0.00,50.00,50.00,0.00,0.00,0.02,0.00,20.00,0.39,23.87,18.16,500,0,0,0,,,,,0,0,0,4,12,110.40,24.91,191.54,73.63,12000.00
2941,4171865617886469680,3,1644234160000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,14.34,12.55,33.21,1.22,22.71,18.62,49.00,2.00,0.06,0.11,0.74,0.00,20.06,2.25,26.65,8.13,163,0,0,4,,,,,0,0,0,3,28,110.40,24.91,191.54,73.63,12000.00
2942,4171865617886469680,4,1644234160000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,3.19,2.99,12.15,1.81,1.00,0.00,1.00,1.00,0.15,0.22,0.58,0.00,185.09,393.00,1079.80,0.00,81,0,0,30,10,0,0,0,0,0,0,2,0,103.92,17.63,155.88,74.60,12000.00
2943,4171865617886469680,2,1644234170000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,35.62,11.15,41.43,2.61,45.60,13.20,50.00,6.00,0.00,0.00,0.02,0.00,20.00,0.44,24.10,16.01,457,0,0,1,,,,,0,0,0,2,12,110.39,24.91,191.54,73.63,12000.00
2944,4171865617886469680,3,1644234170000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,15.26,14.06,29.32,1.20,25.50,24.50,50.00,1.00,0.13,0.19,0.82,0.00,20.06,3.82,31.02,6.99,51,0,0,0,,,,,0,0,0,1,21,110.39,24.91,191.54,73.63,12000.00
2945,4171865617886469680,4,1644234170000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,2.24,0.18,2.62,1.81,1.00,0.00,1.00,1.00,0.09,0.11,0.29,0.01,192.85,399.01,1069.93,0.00,80,0,0,30,10,0,0,0,0,0,0,3,0,103.90,17.64,155.88,74.60,12000.00
2946,4171865617886469680,2,1644234180000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,26.64,13.21,41.65,4.26,36.20,15.09,50.00,9.00,0.00,0.00,0.02,0.00,20.00,0.38,21.35,19.14,183,0,0,2,,,,,0,0,0,2,20,110.41,24.90,191.54,73.63,12000.00
2947,4171865617886469680,3,1644234180000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,32.50,12.20,41.78,6.42,43.20,12.44,51.00,12.00,0.06,0.11,0.75,0.00,19.99,2.21,31.94,8.95,435,0,0,3,,,,,0,0,0,3,21,110.41,24.90,191.54,73.63,12000.00
2948,4171865617886469680,4,1644234180000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,61.17,63.31,222.97,2.23,1.70,0.46,2.00,1.00,0.02,0.03,0.10,0.00,70.90,194.10,804.90,0.00,212,0,0,75,46,0,0,0,0,0,0,2,0,103.91,17.65,155.88,74.60,12000.00
2949,4171865617886469680,2,1644234190000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,19.01,6.83,26.13,6.58,27.67,9.84,42.00,9.00,0.00,0.00,0.02,0.00,19.99,0.33,21.02,18.85,169,0,0,3,,,,,0,0,0,2,15,110.41,24.90,191.54,73.63,12000.00
2950,4171865617886469680,3,1644234190000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,40.08,1.74,42.29,35.75,50.00,0.63,51.00,49.00,0.05,0.10,0.67,0.00,20.00,2.10,32.58,7.75,500,0,0,0,,,,,0,0,0,2,28,110.41,24.90,191.54,73.63,12000.00
2951,4171865617886469680,4,1644234190000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,122.86,206.14,548.24,2.20,1.80,0.40,2.00,1.00,0.01,0.01,0.04,0.00,47.23,157.37,790.32,0.00,313,0,0,109,88,0,0,0,0,0,0,2,0,103.90,17.65,155.88,74.60,12000.00
2952,4171865617886469680,2,1644234200000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,28.29,10.12,41.20,14.54,40.17,11.04,50.00,23.00,0.00,0.00,0.02,0.00,20.02,0.43,24.29,18.02,244,0,0,3,,,,,0,0,0,2,14,110.39,24.90,191.54,73.63,12000.00
2953,4171865617886469680,3,1644234200000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,39.27,2.02,42.38,34.92,50.00,0.63,51.00,49.00,0.03,0.06,0.33,0.00,20.00,1.78,25.53,13.69,500,0,0,0,,,,,0,0,0,2,21,110.39,24.90,191.54,73.63,12000.00
2954,4171865617886469680,4,1644234200000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,28.77,28.86,89.07,1.66,1.50,0.50,2.00,1.00,0.02,0.02,0.07,0.00,97.58,240.05,1046.90,0.00,150,0,0,54,55,0,0,0,0,0,0,2,0,103.88,17.66,155.88,74.60,12000.00
2955,4171865617886469680,2,1644234210000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,38.96,2.82,40.85,32.32,49.80,0.60,50.00,48.00,0.00,0.00,0.02,0.00,20.00,0.38,22.86,17.45,499,0,0,1,,,,,0,0,0,2,16,110.40,24.89,191.54,73.63,12000.00
